Climate scenario,Forest use scenario,Management scenario,Region,Category,Extinction risk [PDF]
RCP2.6,CFM,AFM 25%,EU28,Selection,8.77E-06
RCP2.6,SFM,AFM 25%,EU28,Selection,1.35E-06
RCP6.5,CFM,AFM 25%,EU28,Selection,1.23E-05
RCP6.5,SFM,AFM 25%,EU28,Selection,4.12E-06
RCP2.6,CFM,AFM 37.5%,EU28,Selection,1.21E-05
RCP2.6,SFM,AFM 37.5%,EU28,Selection,1.11E-06
RCP6.5,CFM,AFM 37.5%,EU28,Selection,1.53E-05
RCP6.5,SFM,AFM 37.5%,EU28,Selection,4.05E-06
RCP2.6,CFM,AFM 50%,EU28,Selection,1.55E-05
RCP2.6,SFM,AFM 50%,EU28,Selection,1.47E-07
RCP6.5,CFM,AFM 50%,EU28,Selection,1.83E-05
RCP6.5,SFM,AFM 50%,EU28,Selection,3.62E-06
