"habitat","group","method","z"
"islands","animal_taxa","ind",0.202
"islands","animal_taxa","ind",0.232
"islands","animal_taxa","ind",0.18
"islands","animal_taxa","ind",0.185
"non-forest","plants","nes",0.21
"non-forest","plants","nes",0.29
"islands","animal_taxa","ind",0.19
"islands","animal_taxa","ind",0.383
"forest","plants","nes",0.8055932
"forest","plants","nes",0.7103627
"forest","plants","nes",0.7725766
"non-forest","plants","nes",0.2150728
"islands","plants","ind",0.398
"forest","plants","ind",0.272
"forest","plants","ind",0.313
"forest","plants","ind",0.105
"forest","plants","ind",0.482
"forest","plants","ind",0.193
"forest","plants","ind",0.366
"islands","animal_taxa","ind",0.294
"islands","animal_taxa","ind",0.066
"islands","plants","ind",0.379
"islands","animal_taxa","ind",0.269
"islands","animal_taxa","ind",0.271
"islands","animal_taxa","ind",0.337
"islands","animal_taxa","ind",0.5
"islands","animal_taxa","ind",0.35
"forest","plants","nes",0.16
"forest","plants","nes",0.21
"forest","animal_taxa","ind",0.262
"islands","animal_taxa","ind",0.157
"islands","animal_taxa","ind",0.387
"forest","plants","ind",0.202
"forest","plants","ind",0.518
"islands","animal_taxa","ind",0.149
"forest","animal_taxa","ind",0.084
"non-forest","plants","nes",0.209
"forest","animal_taxa","ind",0.541
"forest","animal_taxa","ind",0.535
"non-forest","animal_taxa","ind",0.348
"non-forest","animal_taxa","ind",0.291
"forest","plants","ind",0.298
"forest","animal_taxa","ind",0.335
"non-forest","plants","nes",0.251
"non-forest","plants","nes",0.262
"non-forest","plants","nes",0.426
"non-forest","plants","nes",0.306
"non-forest","plants","nes",0.27
"non-forest","plants","nes",0.41
"islands","plants","ind",0.449
"islands","plants","ind",0.257
"islands","animal_taxa","ind",0.246
"islands","animal_taxa","ind",0.381
"non-forest","plants","nes",0.054
"non-forest","plants","nes",0.069
"non-forest","plants","nes",0.152
"non-forest","plants","nes",0.154
"forest","plants","nes",0.159
"non-forest","plants","nes",0.161
"forest","plants","nes",0.17
"non-forest","plants","nes",0.177
"non-forest","plants","nes",0.204
"non-forest","plants","nes",0.307
"non-forest","plants","ind",0.532
"forest","animal_taxa","ind",0.21
"forest","animal_taxa","ind",0.28
"forest","animal_taxa","ind",0.3
"forest","animal_taxa","ind",0.39
"islands","plants","ind",0.653
"forest","animal_taxa","ind",0.16
"forest","animal_taxa","ind",0.32
"forest","plants","ind",0.228
"islands","plants","ind",0.404
"islands","plants","ind",0.209
"non-forest","animal_taxa","ind",0.107
"islands","plants","ind",0.454
"islands","plants","ind",0.416
"islands","plants","ind",0.751
"islands","plants","ind",0.12
"islands","animal_taxa","ind",0.499
"islands","plants","ind",0.374
"non-forest","plants","nes",0.3
"non-forest","plants","nes",0.412
"non-forest","plants","nes",0.483
"non-forest","plants","nes",0.593
"islands","plants","ind",0.048
"islands","plants","ind",0.061
"forest","plants","nes",0.345
"forest","plants","nes",0.259
"forest","plants","nes",0.287
"forest","plants","nes",0.302
"forest","plants","nes",0.304
"non-forest","plants","nes",0.323
"forest","plants","nes",0.314
"islands","plants","ind",0.129
"islands","animal_taxa","ind",0.223
"islands","plants","ind",0.511
"islands","animal_taxa","ind",0.519
"forest","plants","ind",0.144
"forest","plants","ind",0.239
"non-forest","animal_taxa","nes",0.37
"non-forest","animal_taxa","nes",0.43
"non-forest","animal_taxa","nes",0.41
"non-forest","animal_taxa","nes",0.4
"non-forest","animal_taxa","nes",0.41
"non-forest","animal_taxa","nes",0.63
"forest","plants","nes",0.28
"forest","plants","nes",0.34
"forest","plants","nes",0.34
"forest","plants","nes",0.38
"forest","plants","nes",0.46
"forest","plants","nes",0.32
"non-forest","plants","ind",0.194
"islands","animal_taxa","ind",0.156
"islands","animal_taxa","ind",0.211
"islands","animal_taxa","ind",0.093
"islands","animal_taxa","ind",0.214
"islands","animal_taxa","ind",0.289
"islands","animal_taxa","ind",0.231
"islands","animal_taxa","ind",0.316
"islands","animal_taxa","ind",0.305
"islands","animal_taxa","ind",0.333
"islands","animal_taxa","ind",0.347
"islands","animal_taxa","ind",0.295
"islands","animal_taxa","ind",0.369
"islands","animal_taxa","ind",0.284
"islands","animal_taxa","ind",0.334
"islands","animal_taxa","ind",0.252
"islands","animal_taxa","ind",0.227
"islands","animal_taxa","ind",0.211
"islands","animal_taxa","ind",0.168
"islands","animal_taxa","ind",0.1
"islands","animal_taxa","ind",0.194
"islands","animal_taxa","ind",0.174
"islands","animal_taxa","ind",0.123
"islands","animal_taxa","ind",0.21
"islands","animal_taxa","ind",0.32
"islands","animal_taxa","ind",0.135
"islands","animal_taxa","ind",0.227
"forest","plants","nes",0.304
"forest","plants","nes",0.479
"islands","plants","ind",0.255
"islands","plants","ind",0.238
"forest","plants","nes",0.282
"forest","plants","nes",0.253
"forest","plants","nes",0.337
"forest","plants","nes",0.333
"forest","plants","nes",0.186
"forest","plants","nes",0.321
"non-forest","plants","ind",0.097
"non-forest","plants","ind",0.338
"non-forest","plants","ind",0.112
"non-forest","plants","ind",0.173
"non-forest","plants","ind",0.157
"forest","plants","ind",0.184
"forest","plants","ind",0.022
"forest","animal_taxa","ind",0.151
"islands","animal_taxa","ind",0.226
"forest","animal_taxa","ind",0.388
"islands","plants","ind",0.482
"non-forest","plants","ind",0.115
"islands","animal_taxa","ind",0.371
"forest","plants","ind",0.216
"forest","animal_taxa","ind",0.725
"forest","animal_taxa","ind",0.673
"forest","animal_taxa","ind",0.281
"islands","plants","ind",0.49
"islands","plants","ind",0.243
"non-forest","plants","nes",0.182
"non-forest","plants","nes",0.165
"forest","animal_taxa","ind",0.211
"forest","animal_taxa","ind",0.436
"forest","animal_taxa","ind",0.347
"forest","animal_taxa","ind",0.344
"islands","plants","ind",0.149
"islands","plants","ind",0.435
"islands","plants","ind",0.101
"forest","animal_taxa","",0.362
"non-forest","plants","ind",0.342
"non-forest","plants","ind",0.399
"forest","plants","nes",0.692
"islands","plants","ind",0.308
"non-forest","animal_taxa","ind",0.226
"forest","plants","nes",0.511
"forest","plants","nes",0.503
"forest","plants","nes",0.379
"forest","plants","nes",0.461
"non-forest","plants","nes",0.188
"non-forest","plants","nes",0.194
"non-forest","plants","nes",0.195
"non-forest","plants","nes",0.207
"non-forest","plants","nes",0.214
"non-forest","plants","nes",0.242
"non-forest","plants","nes",0.243
"non-forest","plants","nes",0.265
"non-forest","plants","nes",0.321
"non-forest","plants","nes",0.355
"non-forest","plants","nes",0.365
"non-forest","plants","nes",0.424
"forest","plants","nes",0.467
"forest","plants","nes",0.518
"forest","plants","nes",0.5
"forest","plants","nes",0.601
"forest","plants","nes",0.565
"forest","plants","nes",0.646
"forest","plants","nes",0.576
"islands","animal_taxa","ind",0.209
"islands","plants","ind",0.445
"islands","animal_taxa","ind",0.351
"islands","animal_taxa","ind",0.351
"islands","animal_taxa","ind",0.244
"islands","plants","ind",0.331
"forest","plants","nes",0.817
"forest","plants","nes",0.665
"forest","plants","nes",0.715
"forest","plants","nes",0.62
"forest","plants","ind",0.644
"non-forest","plants","ind",0.154
"non-forest","plants","ind",0.225
"forest","animal_taxa","ind",0.435
"forest","animal_taxa","ind",0.255
"forest","animal_taxa","ind",0.347
"forest","animal_taxa","ind",0.341
"forest","animal_taxa","ind",0.298
"forest","animal_taxa","ind",0.328
"forest","animal_taxa","ind",0.337
"forest","animal_taxa","ind",0.546
"islands","animal_taxa","ind",0.341
"islands","animal_taxa","ind",0.327
"non-forest","plants","nes",0.219
"non-forest","plants","nes",0.398
"non-forest","plants","nes",0.425
"forest","plants","nes",0.404
"forest","plants","nes",0.34
"forest","plants","nes",0.387
"forest","plants","nes",0.515
"forest","plants","nes",0.453
"forest","plants","nes",0.642
"forest","plants","nes",0.637
"forest","plants","nes",0.693
"islands","animal_taxa","ind",0.184
"islands","animal_taxa","ind",0.232
"islands","animal_taxa","ind",0.205
"islands","animal_taxa","ind",0.227
"forest","plants","ind",0.97
"islands","animal_taxa","ind",0.211
"forest","animal_taxa","ind",0.341
"islands","plants","ind",0.2
"islands","plants","ind",0.46
"islands","plants","ind",0.52
"islands","plants","ind",0.36
"islands","plants","ind",0.56
"islands","animal_taxa","ind",0.42
"islands","animal_taxa","ind",0.32
"islands","animal_taxa","ind",0.32
"islands","animal_taxa","ind",0.322
"islands","animal_taxa","",0.11
"islands","animal_taxa","",0.19
"islands","plants","",0.29
"forest","animal_taxa","ind",0.068
"non-forest","plants","nes",0.174
"non-forest","plants","nes",0.373
"non-forest","plants","ind",0.214
"islands","animal_taxa","ind",0.122
"islands","animal_taxa","ind",0.311
"forest","animal_taxa","ind",0.321
"forest","animal_taxa","ind",0.357
"islands","animal_taxa","ind",0.26
"islands","animal_taxa","ind",0.285
"islands","animal_taxa","ind",0.192
"non-forest","plants","ind",0.138
"forest","plants","nes",0.274
"forest","plants","nes",0.495
"forest","plants","nes",0.364
"forest","plants","nes",0.523
"islands","plants","ind",0.519
"islands","plants","ind",0.265
"islands","animal_taxa","ind",0.225
"islands","animal_taxa","ind",0.187
"forest","plants","ind",0.116
"islands","animal_taxa","ind",0.244
"islands","animal_taxa","ind",0.382
"forest","animal_taxa","ind",0.07
"islands","animal_taxa","ind",0.351
"forest","plants","nes",0.365
"forest","plants","nes",0.428
"forest","plants","nes",0.494
"forest","animal_taxa","ind",0.359
"forest","plants","ind",0.212
"forest","plants","nes",0.2368
"non-forest","animal_taxa","ind",0.175
"islands","animal_taxa","ind",0.185
"forest","animal_taxa","ind",0.219
"forest","animal_taxa","ind",0.199
"forest","animal_taxa","ind",0.203
"forest","animal_taxa","ind",0.225
"forest","animal_taxa","ind",0.287
"non-forest","animal_taxa","",0.296
"islands","plants","ind",0.525
"islands","plants","ind",0.261
"non-forest","plants","nes",0.062
"non-forest","plants","nes",0.059
"non-forest","plants","nes",0.054
"non-forest","plants","nes",0.089
"forest","plants","ind",0.426
"forest","plants","ind",0.528
