ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
11,Strong et al 19XX,In Strong et al: Ecological Communities pp. 123-137,southern,-22,22,,152,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,,,log-log,40,,0.027027027,-0.08,cm3,1.36,0.36,,,,,
12,Strong et al 19XX,In Strong et al: Ecological Communities pp. 123-137,northern,5,5,,135,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,,,log-log,40,0.928727364,0.027027027,-0.65,cm3,1.19,0.46,,,,,-2
13,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,24,24,1,,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,,,log-log,39,0.520388757,0.027777778,-0.061,cm3,0.887,0.237,,,,,
14,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,16.5,16.5,10,,water,marine,decapods,zoobenthos,omnivores,pelagic larvae,mobile,-0.652,no,,,log-log,18,0.909724507,0.066666667,-0.014,km2,-1.502,0.248,,,,,10.23129196
15,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,16.5,16.5,10,,water,marine,shrimps,zoobenthos,omnivores,pelagic larvae,nekton,-0.652,no,,,log-log,18,1.090333954,0.066666667,0.811,km2,-0.737,0.258,,,,,8.882790839
16,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,23.5,23.5,1,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,10,0.885170208,0.142857143,1.25,km2,-1.084,0.389,,,,,4.255272505
17,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,23.5,23.5,1,,terrestrial,islands,seabirds,birds,carnivores,flying,flying,2.6505,no,independent,,log-log,10,0.702575493,0.142857143,0.971,km2,-0.841,0.302,,,,,4.255272505
18,Amerson 1975,Ecology 56: 435-444,northern,27.485,27.485,,-175.5063,terrestrial,islands,seabirds,birds,carnivores,flying,flying,2.6505,no,independent,A2b,log-log,8,1.129943721,0.2,0.841,ha,-1.567,0.602,0.177,0.031329,3.653212514,4.808210973,4.464638559
19,Amerson 1975,Ecology 56: 435-444,northern,27.485,27.485,,-175.5063,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,8,0.624134289,0.2,0.308,ha,-2.32,0.657,0.403,0.162409,3.653212514,4.808210973,4.464638559
20,Amerson 1975,Ecology 56: 435-444,northern,23.473,23.473,,-166.132,terrestrial,islands,seabirds,birds,carnivores,flying,flying,2.6505,no,independent,A2b,log-log,10,1.545259925,0.142857143,0.893,ha,-1.387,0.57,0.09,0.0081,2.602059991,4.783903579,4.224274014
21,Amerson 1975,Ecology 56: 435-444,northern,23.473,23.473,,-166.132,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,10,0.780511159,0.142857143,0.467,ha,-0.845,0.328,0.135,0.018225,2.602059991,4.783903579,4.224274014
22,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,27.5,27.5,1,,terrestrial,islands,seabirds,birds,carnivores,flying,flying,2.6505,no,,,log-log,8,1.129943721,0.2,1.914,km2,-2.778,0.782,,,,,4.462397998
23,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,27.5,27.5,1,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,,,log-log,8,0.663970959,0.2,1.603,km2,-2.363,0.661,,,,,4.462397998
24,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,10,1.863487165,0.142857143,,cm2,,,,,-2,-0.795880017,
25,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.086212965,0.111111111,,cm2,,,,,-2,-0.795880017,
26,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.663970959,0.111111111,,cm2,,,,,-2,-0.795880017,
27,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.738106846,0.111111111,,cm2,,,,,-2,-0.795880017,
28,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.871232911,0.111111111,,cm2,,,,,-2,-0.795880017,
29,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.948272554,0.111111111,,cm2,,,,,-2,-0.795880017,
30,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.982161318,0.111111111,,cm2,,,,,-2,-0.795880017,
31,Anderson 1998,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,2.043878628,0.111111111,,cm2,,,,,-2,-0.795880017,
32,Anderson 1999,Oecologia 118: 87-98,southern,-32.7,32.7,,152,water,marine,zoobenthos,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,12,0.310618868,0.111111111,,cm2,,,,,-2,-0.795880017,
33,Andow & Imura 1994,Ecology 75: 296-300,,,,,,terrestrial,non-forest,arthropod,arthropods,herbivores,flying,mobile,-2.301029996,no,independent,,log-log,19,0.628473201,0.0625,0.79,ha,0.076,0.179,0.065,0.004225,6,10.35793485,9.145543827
34,Androukaki & Adamantopoulou 1992,Biologia Gallo Hellenica 19: 37-44(121-128),northern,39,39,,24,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,8,0.768403234,0.2,1.177,km2,-12.476,1.859,0.896,,6.77815125,7.982271233,7.632204133
35,Angermeier & Schlosser 1989 A,Ecology 70: 1450-1462,northern,8,8,,-80,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,43,1.124128029,0.025,0.87,vol (m3),0.87,0.211,0.024,0.000576,-0.698970004,1.688419822,7.092018471
36,Angermeier & Schlosser 1989 B,Ecology 70: 1450-1462,northern,40,40,,-87.5,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,45,0.309519604,0.023809524,0.883,vol (m3),0.883,0.137,0.066,0.004356,0.826074803,1.925827575,7.569841899
37,Angermeier & Schlosser 1989 C,Ecology 70: 1450-1462,northern,48,48,,-94,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,45,0.253280612,0.023809524,0.722,vol (m3),0.722,0.208,0.124,0.015376,0.397940009,1.5132176,7.040997692
38,Angermeier & Schlosser 1989 D,Ecology 70: 1450-1462,northern,40,40,,-88,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,13,0.622692614,0.1,0.827,vol (m3),0.827,0.237,0.108,0.011664,-0.045757491,1.526339277,7.065206128
39,Angermeier & Schlosser 1989 E,Ecology 70: 1450-1462,northern,48,48,,-94,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,18,0.595724174,0.066666667,0.542,vol (m3),0.542,0.396,0.157,0.024649,-0.455931956,0.959041392,6.484299839
40,Angermeier & Schlosser 1989 F,Ecology 70: 1450-1462,northern,8,8,,-80,water,streams,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,29,0.975244718,0.038461538,0.71,vol (m3),0.71,0.264,0.045,0.002025,-1.15490196,1.113943352,6.389166084
41,Anselin & Meire 1986,Biol Jb Dodonaea 54: 174-186,northern,51,51,,2,water,non-forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,25,0.480944863,0.045454545,0.951,ha,0.335,0.154,0.064,0.004096,4.602059991,5.631443769,5.178516524
42,Archer et al 1988,Ecol Monogr 58: 111-127,northern,27.66,27.66,,-98.2,terrestrial,forest,woody plants (ink cacti),plants,autotrophs,seeds,sessile,4.349,no,independent,,log-log,211,1.098612289,0.004807692,0.456366033,m2,0.456366033,0.33,,,0.698970004,2,2.77815125
43,Archibald 1949 G,J Ecol 37: 260-273,northern,53.5,53.5,,-1.5,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,2.127299512,0.2,1.098,m2,1.098,0.109,0.011,0.000121,-4,1.806179974,1.027936019
44,Archibald 1949 D,J Ecol 37: 260-273,northern,53,53,,1,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,1.97206674,1,1.256,m2,1.256,0.087,0.017,0.000289,-2.602059991,0,-0.483134239
45,Archibald 1949 F,J Ecol 37: 260-273,northern,53,53,,1,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,2.075646937,0.2,1.409,m2,1.409,0.106,0.011,0.000121,-4,1.806179974,1.027936019
46,Archibald 1949 I,J Ecol 37: 260-273,northern,52,52,,-1.5,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.379576392,1,1.72,m2,1.72,0.1,0.013,0.000169,-2.602059991,0,-0.483134239
47,Archibald 1949 H,J Ecol 37: 260-273,northern,54.3,54.3,,-3,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,5,2.226920804,0.5,1.599,m2,1.599,0.105,0.013,0.000169,-4,0,-0.580011227
48,Archibald 1949 J,J Ecol 37: 260-273,northern,51.8,51.8,,-0.5,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,5,1.852704378,0.5,1.826,m2,1.826,0.151,0.028,0.000784,-4,0,-0.580011227
49,Archibald 1949 E,J Ecol 37: 260-273,northern,53,53,,1,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,3.800201167,0.2,1.352,m2,1.352,0.116,0.002,0.000004,-4,1.806179974,1.027936019
50,Archibald 1949 B,J Ecol 37: 260-273,northern,53,53,,1,water,marine,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,1.013000009,0.2,1.13,m2,1.13,0.027,0.009,0.000081,-4,1.806179974,1.027936019
51,Archibald 1949 A,J Ecol 37: 260-273,northern,53,53,,1,water,marine,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,1.488237944,0.2,0.921,m2,0.921,0.077,0.015,0.000225,-4,1.806179974,1.027936019
52,Archibald 1949 C,J Ecol 37: 260-273,northern,53,53,,1,terrestrial,non-forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,8,2.379576392,0.2,0.949,m2,0.949,0.246,0.019,0.000361,-4,1.806179974,1.027936019
53,Assmann 1999,Biodiversity and Conservation 8: 1499-1517,northern,52.2,52.2,,10.5,terrestrial,forest,carabids,insects,omnivores,flying,mobile,-0.351,no,independent,,log-log,29,0.748076471,0.038461538,1.666,ha,2.33,-0.166,0.039,0.001521,5.462397998,7.255272505,6.789291556
54,Auerbach & Hendrix 1980,Ecological Entomology 5: 99-104,,,,,,terrestrial,,fern assoc. insects,insects,herbivores,flying,flying,-2.3979,no,independent,,log-log,48,0.362029024,0.022222222,-1.133,km2,-2.333,0.2,0.08,0.0064,11.40449162,13.66294661,13.19145101
55,Azovsky 2000,Web Ecology 1: 28-34,,,,,,water,marine,polychaeta,zoobenthos,omnivores,pelagic larvae,,-3.5,no,both,,log-log,8,2.186409191,0.2,-1.056067055,m2,-1.056067055,0.14192,0.013182,0.000173765,,,
56,Azovsky 2000,Web Ecology 1: 28-34,,,,,,water,marine,diatoms,nonvascular plants,autotrophs,passive,plankton,-9.414,no,both,,log-log,9,1.784734594,0.166666667,0.499435421,m2,0.499435421,0.06727,0.008782,7.71235E-05,,,
57,Azovsky 2000,Web Ecology 1: 28-34,,,,,,water,marine,nematoda,helminths,microbivores,mobility,mobile,-5.853871964,no,both,,log-log,10,2.671058387,0.142857143,-0.420090333,m2,-0.420090333,0.12789,0.006286,3.95138E-05,,,
58,Azovsky 2000,Web Ecology 1: 28-34,,,,,,water,marine,ciliata,zooplankton,microbivores,passive,plankton,-5.301029996,no,both,,log-log,10,2.110501156,0.142857143,0.262624859,m2,0.262624859,0.08496,0.007389,5.45973E-05,,,
59,Azovsky 2000,Web Ecology 1: 28-34,,,,,,water,marine,"macrofauna, zoobentos",zoobenthos,omnivores,mobility,mobile,-1.584,no,both,,log-log,21,2.009179462,0.055555556,-2.23147746,m2,-2.23147746,0.19382,0.012144,0.000147477,,,
60,Wright 1981,"from Wright 1981, Am Nat 118: 726-748",northern,,,,,terrestrial,islands,bats,mammals,omnivores,flying,flying,1.113943352,no,independent,,log-log,20,1.138771478,0.058823529,0.381,km2,-0.843,0.204,0.034,0.001156,7.113943352,11.04713151,9.910895805
61,Báldi & Kisbenedek 1999,Acta Oecologica 20:125-132,northern,47.58,47.58,,18.92,terrestrial,forest,Orthoptera,insects,herbivores,flying,flying,-1.15,no,independent,,log-log,27,1.257213468,0.041666667,0.348,m2,0.348,0.152,,,2.255272505,5.602059991,4.496565791
62,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,7.4,7.4,14.8,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,14,0.867300528,0.090909091,0.43,km2,-1.694,0.354,,,,,10.11253798
63,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,58.25,58.25,32.5,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,16,0.541337848,0.076923077,0.919,km2,0.199,0.12,,,,,10.81845354
64,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,23.1,23.1,23.2,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,12,0.549306144,0.111111111,1.04,km2,0.338,0.117,,,,,8.933402749
65,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,48.1,48.1,11.8,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,21,0.532120051,0.055555556,1.161,km2,0.465,0.116,,,,,10.17499923
66,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,17.6,17.6,17.1,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,29,0.863389675,0.038461538,0.922,km2,-0.314,0.206,,,,,9.842531796
67,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,58.25,58.25,32.5,,water,lakes,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,41,0.496043635,0.026315789,1.07,km2,0.41,0.11,,,,,10.52336763
68,Barbour & Brown 1974,Am Nat 108: 473-489,,,,,,water,,fish,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,70,0.612664516,0.014925373,1.018,km2,0.16,0.143,0.027,0.000729,5.903089987,11.63948649,10.35080991
69,Barnes 1991,Bulletin of the Torrey Botanical Club 118: 424-431,northern,45.5,45.5,,-91,terrestrial,islands,trees,plants,autotrophs,seeds,sessile,4.64,no,independent,,log-log,28,0.666995419,0.04,0.851,ha,0.135,0.179,0.049,0.002401,2.568201724,4.812712867,4.280805928
70,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,42.8,42.8,1.25,,terrestrial,islands,phanerogams,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,17,1.466981097,0.071428571,2.319,km2,0.465,0.309,,,,,7.314120134
71,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,42.8,42.8,1.25,,terrestrial,islands,Orthoptera,insects,herbivores,flying,flying,-1.15,no,independent,,log-log,12,1.665843389,0.111111111,0.993,km2,-0.621,0.269,,,,,7.46526385
72,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,42.8,42.8,1.25,,terrestrial,islands,ants,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,20,1.852704378,0.058823529,1.056,km2,-0.072,0.188,,,,,7.243534102
73,Bastian et al 1989,Zoologische Abhandlungen/Staatliches Museum für Tierkunde Dresden 45: 53-73,northern,51,51,,14,terrestrial,non-forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,35,0.562729769,0.03125,-0.882,10000 m2,-2.458,0.394,0.115,0.013225,6.946422787,8.835871486,8.179430074
74,Bauer 1989,J Animal Ecol 58: 1077-1098,,,,,-3,terrestrial,non-forest,Staphylinids,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,12,0.086212965,0.111111111,1.811,ha,1.747,0.016,0.06,0.0036,3.301029996,5.204119983,4.744944588
75,Bauer 1989,J Animal Ecol 58: 1077-1098,,,,,-3,terrestrial,non-forest,Carabids,insects,omnivores,flying,mobile,-0.351,no,independent,,log-log,12,0.390742321,0.111111111,1.372,ha,1.716,-0.086,0.068,0.004624,3.301029996,5.204119983,4.744944588
76,Bauer 1989,J Animal Ecol 58: 1099-1113,,,,,-3,terrestrial,non-forest,flightless staphylinids,insects,omnivores,mobility,mobile,-2.398,no,independent,,log-log,16,0.609819461,0.076923077,0.745,m2,0.745,0.109,0.045,0.002025,1.301029996,3.232742063,2.71456445
77,Bauer 1989,J Animal Ecol 58: 1099-1113,,,,,-3,terrestrial,non-forest,flying staphylinids,insects,omnivores,flying,mobile,-2.398,no,independent,,log-log,19,0.44526613,0.0625,0.869,m2,0.869,0.05,0.027,0.000729,1.230448921,3.205204364,2.634648536
78,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,15,15,6,,terrestrial,islands,,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,8,1.141742461,0.2,1.754,km2,0.8,0.159,,,,,8.794412753
79,Beard et al 2001,J Biogeogr 27: 1257-1268,,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,,,log-log,26,1.073454411,0.043478261,2.0696,km2,0.2162,0.3089,,,8.698970004,13,
80,Beaver 1979,Nature 281: 139-141,northern,25.25,25.25,43.5,,terrestrial,,coleoptera,insects,herbivores,flying,flying,-2.301029996,no,independent,,log-log,3,,,5.617,km2,11.209,-0.932,0.004,0.000016,9.118264726,9.740046724,9.560982056
81,Matter et al 2002,"From Matter et al 2002, J of Biogeography 29: 977-983",,,,,,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,14,0.758703097,0.090909091,0.309630167,okänd,,0.19,0.07,0.0049,,,
82,Belant & Van Stappen 2002,Natural Areas Journal 22: 180-185,northern,46.89,46.89,0.38,-90.725,terrestrial,islands,nonvolant mammals,mammals,omnivores,mobility,mobile,2.903089987,no,,,log-log,19,1.390023625,0.0625,-0.011,ha,-1.3662,0.3388,,,4.079181246,7.60948769,6.924279286
83,Bell & Burt 1991,J Animal Ecology 60: 1047-1063,,,,,,water,,helminths in fish,helminths,parasites,transfer,parasite,,yes,independent,,log-log,74,0.40122894,0.014084507,0.216,host lenght (mm),,0.394,0.113,0.012769,,,
84,Bengtson & Bloch 1983,Oikos 41: 507-522,northern,62,62,,-7,terrestrial,islands,birds,birds,omnivores,flying,flying,2.167739032,no,independent,A2b,log-log,22,1.985655641,0.052631579,1.064,km2,-0.622,0.281,0.018,0.000324,5.041392685,8.572290606,7.803844939
85,Bengtson 1980,Entomologia Generalis 6: 251-266,northern,62,62,,-7,terrestrial,non-forest,ground beetles/carabids,insects,omnivores,flying,mobile,-0.351,no,independent,,log-log,17,1.020327758,0.071428571,0.649,km2,-0.875,0.254,0.054,0.002916,6.431363764,8.572871602,7.915215102
86,Bennett 1997,Rhodora 99: 241-251,,,,,,terrestrial,,plants,plants,autotrophs,seeds,sessile,1,no,both,,log-log,34,1.53928414,0.032258065,2.42,km2,1.088,0.222,0.018,0.000324,4.51054501,15.1752276,12.79290557
87,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,crustose lichens,nonvascular plants,decomposers,spores,sessile,,no,independent,,log-log,46,0.853359202,0.023255814,1.3,ha,0.9,0.1,,,3.230448921,5.079181246,4.342422681
88,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,mosses,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,46,1.209935121,0.023255814,1.4,ha,0.76,0.16,,,3.230448921,5.079181246,4.342422681
89,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,46,0.867300528,0.023255814,1.1,ha,0.3,0.2,,,3.230448921,5.079181246,4.342422681
90,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,liverworts,nonvascular plants,autotrophs,spores,sessile,-1,no,independent,,log-log,46,0.999959891,0.023255814,1.3,ha,0.5,0.2,,,3.230448921,5.079181246,4.342422681
91,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,polyporous fungi,Fungi,decomposers,spores,sessile,,no,independent,,log-log,46,0.999959891,0.023255814,1.1,ha,-0.06,0.29,,,3.230448921,5.079181246,4.342422681
92,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,corticoid fungi,Fungi,decomposers,spores,sessile,,no,independent,,log-log,46,0.984444458,0.023255814,1.3,ha,-0.34,0.41,,,3.230448921,5.079181246,4.342422681
93,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,red-list species,,omnivores,,sessile,,no,independent,,log-log,46,1.064554504,0.023255814,0.9,ha,-0.86,0.44,,,3.230448921,5.079181246,4.342422681
94,Berglund & Jonsson 2001,J of Vegetation Sci 12: 857-866,northern,66.53,66.53,,21.53,terrestrial,forest,rare species,,omnivores,,sessile,,no,independent,,log-log,46,0.999959891,0.023255814,0.6,ha,-1.64,0.56,,,3.230448921,5.079181246,4.342422681
95,Bevanger 1987,"Fauna norv Ser C, Cinclus 10: 45-52",,,,,,terrestrial,streams,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,47,0.972955075,0.022727273,1.452,km2,0.108,0.224,0.029,0.000841,7.73239376,8.309630167,8.044237844
96,Billings 1938,Ecol Monogr 8: 437-500,northern,36.03,36.03,,-78.93,terrestrial,forest,herbs,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,3,3.800201167,,1.205,m2,1.205,0.23,0.011,0.000121,0.005073213,0.607133204,0.373049998
97,Billings 1938,Ecol Monogr 8: 437-500,northern,36.03,36.03,,-78.93,terrestrial,forest,bushes,plants,autotrophs,seeds,sessile,3.301029996,no,nested,,log-log,4,2.323459034,1,1.363,m2,1.363,0.197,0.028,0.000784,0.005073213,1.209193196,0.764741095
98,Billings 1938,Ecol Monogr 8: 437-500,northern,36.03,36.03,,-78.93,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,5,2.477410257,0.5,0.641,m2,0.641,0.361,0.035,0.001225,0.005073213,2.005073213,1.39600832
99,Bills et al 1986,Can J Bot 64: 760-768,northern,38.2,38.2,0.16,-80.285,terrestrial,forest,fungi,Fungi,decomposers,spores,sessile,,no,nested,,log-log,10,2.477410257,0.142857143,0.415,m2,0.415,0.343,0.02,0.0004,0.921894471,3.190907667,2.579100761
100,Bills et al 1986,Can J Bot 64: 760-768,northern,38.2,38.2,0.16,-80.285,terrestrial,forest,fungi,Fungi,decomposers,spores,sessile,,no,nested,,log-log,9,2.442661996,0.166666667,0.098,m2,0.098,0.432,0.029,0.000841,1.198437135,3.190529747,2.613947477
