Realm,z,Method,Organism_group
ter,0.78,,birds
ter,0.66,,plants
aqu,0.35,ind,fish
aqu,0.12,ind,fish
aqu,0.12,ind,fish
aqu,0.12,ind,fish
aqu,0.21,ind,fish
aqu,0.11,ind,fish
ter,0.31,ind,plants
ter,0.27,ind,insects
ter,0.19,ind,insects
ter,0.16,ind,plants
ter,0.43,ind,mammals
aqu,0.08,,zooplankton
ter,1.13,ind,insects
ter,0.58,ind,plants
ter,0.13,ind,birds
ter,0.17,ind,reptiles
ter,0.27,ind,plants
ter,0.96,ind,plants
ter,0.05,ind,birds
aqu,0.11,ind,nonv plants
aqu,0.18,ind,zoobenthos
ter,0.66,ind,
ter,0.23,ind,birds
aqu,0.4,,zoobenthos
ter,0.4,ind,plants
ter,0.38,ind,plants
ter,0.27,ind,birds
ter,0.03,ind,arthropods
ter,0.04,ind,insects
ter,0.59,nes,mammals
ter,0.06,nes,mammals
ter,0.55,nes,vertebrates
ter,0.2,nes,vertebrates
ter,0.93,nes,mammals
ter,-0.24,nes,mammals
ter,0.5,ind,birds
ter,0.16,ind,birds
ter,0.39,ind,mammals
ter,0.14,ind,reptiles
ter,0.25,ind,mammals
ter,0.65,ind,plants
ter,0.4,ind,plants
ter,0.21,ind,plants
ter,0.45,ind,plants
ter,0.42,ind,plants
ter,0.16,ind,plants
ter,0.52,ind,mammals
aqu,0.23,ind,zoobenthos
aqu,0.15,,zoobenthos
ter,0.28,ind,vertebrates
ter,0.42,ind,plants
ter,0.42,ind,plants
ter,0.26,ind,plants
ter,0.24,ind,plants
ter,0.48,ind,plants
ter,0.37,ind,birds
ter,-0.11,nes,plants
ter,0.44,ind,plants
ter,0.47,ind,insects
aqu,0.67,,nonv plants
ter,0.21,ind,birds
ter,0.45,ind,plants
ter,0.35,ind,birds
ter,0.26,ind,vertebrates
ter,0.45,nes,insects
ter,0.2,nes,insects
ter,0.18,ind,birds
ter,0.32,ind,birds
ter,0.32,ind,birds
ter,-0.28,nes,plants
aqu,0.35,ind,zoobenthos
ter,0.12,ind,birds
ter,0.31,ind,birds
ter,0.24,ind,birds
ter,0.22,ind,insects
ter,0.3,ind,fungi
ter,1.12,ind,insects
ter,0.37,ind,insects
ter,0.37,ind,insects
ter,0.19,ind,birds
ter,0.4,ind,insects
ter,0.3,ind,birds
aqu,0.43,ind,zoobenthos
ter,0.35,,birds
ter,0.28,ind,insects
ter,0.16,ind,insects
ter,0.24,,insects
ter,-0.002,ind,birds
ter,-0.07,ind,plants
ter,0.16,ind,mammals
ter,0.24,nes,plants
ter,0.45,nes,plants
ter,0.5,nes,plants
ter,0.16,ind,plants
ter,0.35,ind,mammals
ter,0.17,ind,mammals
ter,0.16,ind,vertebrates
ter,0.17,ind,birds
ter,0.25,ind,insects
ter,0.2,ind,insects
ter,0.26,ind,insects
ter,0.26,ind,insects
ter,0.15,ind,insects
ter,0.14,ind,insects
ter,0.16,ind,insects
ter,0.23,ind,plants
ter,1.66,ind,insects
aqu,0.05,ind,arthropods
aqu,0.06,ind,arthropods
aqu,0.05,ind,zooplankton
aqu,0.09,ind,zooplankton
aqu,0.01,ind,nonv plants
aqu,0.085,ind,plants
aqu,0.15,ind,zooplankton
aqu,0.04,ind,arthropods
aqu,0.09,ind,arthropods
aqu,0.27,ind,fish
aqu,0.79,ind,zoobenthos
aqu,0.68,ind,zoobenthos
ter,0.18,ind,plants
ter,0.38,ind,mammals
ter,-0.05,ind,plants
ter,-0.01,ind,plants
ter,0.18,,helminths
aqu,0.31,ind,fish
aqu,0.25,ind,fish
aqu,0.29,ind,fish
aqu,0.27,ind,fish
aqu,0.23,ind,fish
aqu,0.14,ind,fish
ter,0.81,nes,plants
ter,0.71,nes,plants
ter,1.01,nes,plants
ter,0.77,nes,plants
ter,0.22,nes,plants
ter,0.25,ind,insects
ter,-1.24,ind,plants
aqu,0.18,ind ,fish
aqu,0.1,ind,zoobenthos
aqu,-0.09,ind,plants
ter,0.17,ind,reptiles
ter,0.11,ind,reptiles
ter,0.27,ind,plants
ter,0.31,ind,plants
ter,0.11,ind,plants
ter,0.48,ind,plants
ter,0.19,ind,plants
ter,0.37,ind,plants
ter,-0.05,ind,plants
ter,0.19,,insects
ter,0.18,,insects
ter,0.19,,insects
ter,0.27,,insects
ter,0.28,,insects
ter,-0.04,ind,insects
aqu,0.46,,zoobenthos
aqu,0.17,ind,zoobenthos
ter,0.03,,insects
ter,0.17,,insects
ter,0.17,,insects
ter,0.2,,insects
ter,0.24,,insects
ter,0.24,,insects
ter,0.29,,insects
aqu,0.17,,fish
aqu,0.27,,fish
ter,0.34,ind,birds
,,,
ter,0.28,ind,insects
ter,0.18,ind,birds
ter,-0.19,ind ,mammals
ter,0.16,nes,plants
ter,0.21,nes,plants
ter,0.26,ind,birds
ter,0.13,,plants
ter,0.2,ind,plants
aqu,0.16,ind,zooplankton
aqu,0.36,nes,zoobenthos
aqu,0.25,nes,zoobenthos
aqu,0.53,nes,zoobenthos
aqu,0.4,nes,zoobenthos
ter,0.08,ind,birds
ter,0.52,ind,plants
ter,0.15,ind,mammals
ter,0.08,ind,mammals
ter,0.26,ind,reptiles
ter,0.24,ind,reptiles
ter,0.54,ind,birds
ter,0.54,ind,birds
ter,0.35,ind,birds
ter,0.29,ind,birds
ter,0.3,ind,plants
ter,0.34,ind,birds
ter,0.25,nes,plants
ter,0.26,nes,plants
ter,0.43,nes,plants
ter,0.31,nes,plants
ter,0.27,nes,plants
ter,0.41,nes,plants
ter,0.45,ind,plants
ter,0.26,ind ,plants
ter,0.53,ind,plants
ter,0.21,ind,birds
ter,0.28,ind,birds
ter,0.3,ind,birds
ter,0.39,ind,birds
aqu,0.32,nes,nonv plants
aqu,0.29,nes,nonv plants
aqu,0.2,nes,nonv plants
aqu,0.31,ind,fish
ter,0.16,ind,birds
ter,0.27,ind,reptiles
ter,0.32,ind,mammals
ter,0.22,ind,mammals
aqu,0.55,nes,helminths
ter,0.23,ind,plants
aqu,0.16,ind,fish
aqu,0.2,ind,fish
aqu,0.19,ind,fish
aqu,0.25,ind,fish
aqu,0.24,ind,fish
aqu,0.17,ind,fish
ter,-0.87,ind,birds
ter,2.27,ind,insects
ter,0.75,ind,plants
ter,0.12,ind,plants
ter,0.68,ind,insects
ter,0.5,ind,birds
ter,0.37,ind,plants
ter,0.34,ind,molluscs
ter,0.12,ind,insects
ter,0.02,ind,insects
ter,0.14,ind,reptiles
ter,0.11,ind,mammals
aqu,-0.02,ind,molluscs
aqu,0.19,ind,molluscs
aqu,0.11,ind,molluscs
aqu,0.12,ind,molluscs
ter,0.32,ind,insects
ter,0.34,ind,insects
ter,0.49,ind,insects
ter,0.08,ind,helminths
ter,0.3,nes,plants
ter,0.41,nes,plants
ter,0.48,nes,plants
ter,0.59,nes,plants
ter,0.05,ind,plants
ter,0.06,ind,plants
ter,0.29,nes,nonv plants
aqu,0.81,ind,zoobenthos
ter,0.35,nes,plants
ter,0.26,nes,plants
ter,0.29,nes,plants
ter,0.3,nes,plants
ter,0.3,nes,plants
ter,0.32,nes,plants
ter,-0.03,ind,fungi
ter,0.31,nes,plants
ter,0.19,ind,plants
aqu,0.19,ind,fish
,,,
ter,0.34,ind,mammals
ter,0.29,ind,insects
ter,0.4,ind,insects
ter,0.13,ind,plants
ter,0.22,ind,birds
ter,0.51,ind,plants
ter,0.38,ind,plants
ter,0.13,ind,insects
ter,0.13,ind,birds
ter,0.02,ind,insects
ter,0.14,ind,plants
ter,0.24,ind,plants
ter,0.37,nes,birds
ter,0.43,nes,birds
ter,0.41,nes,birds
ter,0.4,nes,birds
ter,0.41,nes,birds
ter,0.63,nes,birds
ter,0.28,nes,plants
ter,0.34,nes,plants
ter,0.34,nes,plants
ter,0.38,nes,plants
ter,0.46,nes,plants
ter,0.32,nes,plants
ter,-0.04,ind,plants
,,,
ter,0.29,ind ,mammals
ter,0.23,ind ,mammals
ter,0.35,ind ,mammals
ter,0.32,ind ,mammals
ter,0.31,ind ,mammals
ter,0.33,ind ,mammals
ter,0.3,ind ,mammals
ter,0.37,ind ,mammals
ter,0.28,ind ,mammals
ter,0.1,ind ,mammals
ter,0.33,ind ,mammals
ter,0.25,ind ,mammals
ter,0.23,ind ,mammals
ter,0.21,ind ,mammals
ter,0.17,ind ,mammals
ter,0.19,ind ,mammals
ter,0.17,ind ,mammals
ter,0.32,ind ,mammals
ter,0.21,ind ,mammals
ter,0.12,ind ,mammals
ter,0.14,ind ,mammals
ter,0.23,ind ,mammals
ter,0.13,ind ,mammals
ter,0.16,ind,nonv plants
ter,0.16,ind,nonv plants
ter,0.19,ind,nonv plants
ter,0.2,ind,nonv plants
ter,0.2,ind,nonv plants
ter,0.21,ind,nonv plants
ter,0.28,ind,nonv plants
ter,0.3,nes,plants
ter,0.48,nes,plants
ter,0.16,ind,insects
ter,0.14,ind,insects
ter,0.22,ind,insects
ter,0.47,,insects
ter,0.37,ind,insects
ter,0.41,ind,insects
ter,0.85,ind,insects
ter,0.96,,insects
ter,0.63,,insects
ter,0.02,ind,plants
ter,0.06,nes,plants
ter,0.06,nes,plants
ter,0.05,nes,plants
ter,0.09,nes,plants
ter,2.47,ind,plants
ter,0.07,ind,insects
ter,0.12,ind,insects
ter,0.09,both,insects
ter,0.14,both,insects
ter,0.09,both,insects
aqu,-0.13,ind,insects
ter,0.15,ind,mammals
ter,0.23,ind,mammals
ter,0.39,ind,mammals
ter,0.27,ind,plants
ter,0.18,ind,plants
ter,0.12,ind,plants
aqu,0.13,ind,molluscs
ter,0.07,ind,insects
ter,0.22,ind,plants
aqu,0.2,nes,fish
ter,-0.1,ind,insects
ter,0.73,ind,birds
ter,0.67,ind,birds
ter,0.28,ind,birds
,,,
ter,0.19,ind,birds
ter,0.21,ind,birds
ter,0.18,ind,birds
ter,0.19,ind,birds
ter,0.35,ind,mammals
aqu,-0.93,ind,fish
ter,0.39,ind,mammals
ter,0.49,ind,plants
ter,0.74,ind,insects
ter,0.17,ind,insects
ter,0.21,ind,insects
ter,0.24,ind,arthropods
ter,0.19,ind,arthropods
ter,0.09,ind,arthropods
ter,0.24,ind,plants
ter,0.3,ind,insects
ter,0.43,ind,plants
ter,0.41,ind,plants
ter,0.18,ind,insects
ter,0.18,nes,plants
ter,0.17,nes,plants
aqu,0.16,ind,arthropods
ter,0.39,ind,plants
ter,0.3,ind,birds
ter,0.31,ind,plants
ter,0.25,ind,reptiles
ter,0.52,ind,mammals
ter,0.54,ind,mammals
ter,0.23,ind,reptiles
ter,0.81,ind,amphibians
ter,0.76,ind,amphibians
ter,0.43,ind,birds
ter,0.21,ind,birds
ter,0.12,ind,mammals
ter,0.61,ind,fungi
,,,
ter,0.44,ind,birds
ter,0.38,ind,birds
ter,0.35,ind,birds
ter,0.74,ind,birds
ter,0.34,ind,birds
ter,0.48,nes,nonv plants
ter,0.42,nes,nonv plants
ter,0.45,nes,nonv plants
ter,0.42,nes,nonv plants
ter,0.42,nes,nonv plants
ter,0.4,nes,nonv plants
ter,0.37,ind,insects
ter,0.27,ind,insects
ter,0.15,ind,plants
ter,0.1,ind,plants
ter,0.15,ind,molluscs
ter,0.37,ind,insects
ter,0.36,,birds
aqu,0.16,ind,fish
ter,0.34,ind,plants
ter,0.4,ind,plants
aqu,0.28,ind,zoobenthos
aqu,0.9,ind,zoobenthos
aqu,0.53,ind,zoobenthos
aqu,0.17,ind,zoobenthos
aqu,0.44,ind,zoobenthos
ter,0.37,,insects
ter,0.58,,insects
ter,0.69,nes,plants
ter,0.31,ind,plants
ter,0.23,ind,birds
ter,0.21,,birds
ter,0.51,nes,plants
ter,0.5,nes,plants
ter,0.38,nes,plants
ter,0.46,nes,plants
ter,0.19,nes,plants
ter,0.19,nes,plants
ter,0.2,nes,plants
ter,0.21,nes,plants
ter,0.21,nes,plants
ter,0.24,nes,plants
ter,0.24,nes,plants
ter,0.27,nes,plants
ter,0.32,nes,plants
ter,0.36,nes,plants
ter,0.37,nes,plants
ter,0.42,nes,plants
aqu,0.35,ind,zoobenthos
aqu,0.48,ind,zoobenthos
aqu,0.44,ind,zoobenthos
aqu,0.41,ind,zoobenthos
ter,0.38,ind ,insects
ter,0.15,ind ,insects
ter,0.47,nes,plants
ter,0.52,nes,plants
ter,0.5,nes,plants
ter,0.6,nes,plants
ter,0.57,nes,plants
aqu,0.01,ind,fish
ter,0.13,ind,birds
ter,0.65,nes,plants
ter,0.58,nes,plants
ter,0.15,both,birds
ter,0.17,both,birds
ter,0.3,ind,vertebrates
ter,0.35,ind,birds
ter,0.24,ind,birds
ter,0.33,ind,plants
ter,0.82,nes,plants
ter,0.67,nes,plants
ter,0.72,nes,plants
ter,0.62,nes,plants
ter,0.64,ind,plants
ter,0.33,ind,plants
ter,0.44,ind,birds
ter,0.26,ind,birds
ter,0.35,ind,birds
ter,0.34,ind,birds
ter,0.3,ind,birds
ter,0.33,ind,birds
ter,0.34,ind,birds
ter,0.55,ind,mammals
ter,0.34,ind,birds
ter,0.33,ind,birds
ter,0.22,nes,plants
ter,0.3,ind,arthropods
ter,0.4,nes,plants
ter,0.43,nes,plants
ter,0.4,nes,plants
ter,0.34,nes,plants
ter,0.39,nes,plants
ter,0.52,nes,plants
ter,0.45,nes,plants
ter,0.64,nes,plants
ter,0.23,ind,mammals
ter,0.26,ind,insects
ter,0.21,ind,birds
ter,0.16,ind,vertebrates
ter,0.23,ind,birds
,,,
ter,0.93,,mammals
,,,
ter,0.37,nes,nonv plants
ter,0.58,nes,nonv plants
ter,0.34,ind,birds
aqu,0.15,ind,zoobenthos
ter,0.2,ind,plants
ter,0.46,ind,plants
ter,0.52,ind,plants
ter,0.36,ind,plants
ter,0.56,ind,plants
aqu,0.42,ind,nonv plants
aqu,0.19,ind,fish
aqu,0.23,ind,fish
aqu,0.24,ind,fish
aqu,0.34,ind,fish
aqu,0.5,ind,fish
aqu,0.56,ind,fish
ter,0.42,ind,mammals
ter,0.32,ind,birds
ter,0.37,ind,vertebrates
ter,0.11,,birds
ter,0.15,,insects
ter,0.19,,birds
ter,0.29,,plants
ter,0.04,ind,birds
ter,0.12,ind,birds
ter,0.07,ind,birds
ter,0.17,nes,plants
ter,0.37,nes,plants
ter,0.2,ind,arthropods
ter,0.21,ind,plants
aqu,0.11,ind,zooplankton
aqu,0,ind,zooplankton
aqu,0.08,ind,zooplankton
aqu,0.16,ind,zooplankton
aqu,0.07,ind,zooplankton
ter,0.57,ind,mammals
ter,0.2,ind,plants
ter,0.11,ind,arthropods
ter,0.32,ind,birds
ter,0.36,ind,birds
ter,0.11,ind,insects
ter,0.14,ind,plants
ter,0.42,ind,insects
ter,0.66,,insects
ter,1,,insects
ter,0.37,ind,arthropods
ter,1.07,ind,insects
ter,0.27,nes,plants
ter,0.5,nes,plants
ter,0.36,nes,plants
ter,0.52,nes,plants
aqu,0.4,nes,fish
ter,0.07,ind,insects
ter,0.52,ind,plants
ter,0.06,ind,insects
ter,0.27,ind,plants
ter,0.06,ind,insects
ter,0.27,ind,insects
ter,0.11,ind,insects
ter,0.23,ind,birds
aqu,0.34,ind,fish
ter,0.29,,plants
ter,0.24,ind,birds
ter,0.37,nes,plants
ter,0.43,nes,plants
ter,0.49,nes,plants
aqu,0.08,ind,zoobenthos
aqu,0.12,,plants
aqu,0.13,,plants
ter,0.12,ind,plants
aqu,0.18,ind,arthropods
aqu,0.18,ind,arthropods
aqu,0.25,ind,arthropods
aqu,0.22,ind,arthropods
aqu,0.22,ind,arthropods
aqu,0.16,ind,arthropods
aqu,0.37,ind,arthropods
aqu,0.31,ind,arthropods
aqu,0.32,ind,arthropods
aqu,0.33,ind,arthropods
aqu,0.27,ind,arthropods
aqu,0.32,ind,arthropods
ter,0.07,ind,birds
aqu,0.33,nes,fish
aqu,0.34,nes,molluscs
aqu,0.1,nes,plants
aqu,0.15,nes,plants
aqu,0.21,nes,plants
aqu,0.16,nes,plants
aqu,0.17,nes,plants
aqu,0.23,nes,plants
aqu,0.21,nes,plants
aqu,0.26,nes,plants
aqu,0.34,nes,plants
aqu,0.22,nes,plants
aqu,0.15,nes,zoobenthos
aqu,0.17,nes,zoobenthos
aqu,0.32,nes,zoobenthos
aqu,0.33,nes,zoobenthos
aqu,0.28,nes,zoobenthos
ter,0.16,ind,mammals
ter,0.36,ind,birds
ter,0.21,ind,plants
ter,0.2,ind,insects
ter,0.12,ind,plants
ter,0.12,ind,plants
ter,0.05,ind,insects
ter,0.15,ind ,insects
ter,0.22,ind,birds
ter,0.2,ind,birds
ter,0.2,ind,birds
ter,0.23,ind,birds
ter,0.29,ind,birds
,,,
ter,0.34,ind,birds
ter,0.2,ind,mammals
ter,0.27,ind,birds
ter,0.2,ind,birds
ter,0.19,ind,birds
ter,0.23,ind,amphibians
ter,0.24,ind,reptiles
ter,0.27,ind,birds
ter,0.38,ind,mammals
ter,0.16,ind,birds
ter,0.21,ind,birds
ter,0.09,ind,mammals
ter,0.21,ind,mammals
ter,0.3,ind,amphibians
ter,0.29,ind,reptiles
ter,0.41,ind,amphibians
ter,0.36,ind,reptiles
ter,0.41,ind,amphibians
ter,0.03,ind,amphibians
ter,0.19,ind,reptiles
ter,0.07,ind,amphibians
ter,0.17,ind,reptiles
ter,0.19,ind,reptiles
ter,0.21,ind,birds
ter,0.17,ind,reptiles
ter,0.16,ind,amphibians
ter,0.08,ind,amphibians
ter,0.04,ind,reptiles
ter,0.26,ind,mammals
ter,0.29,ind,mammals
ter,0.19,ind,mammals
ter,0.38,ind,mammals
ter,0.19,ind,mammals
ter,0.53,ind,plants
ter,0.26,ind,plants
ter,0.2,nes,fungi
ter,0.74,nes,fungi
ter,0.29,ind,mammals
ter,0.07,ind,birds
ter,0.28,ind,plants
ter,0.55,ind,plants
ter,0.43,ind,plants
ter,0.53,ind,plants
